Original Order,Optimized Order,Original Distance,Optimized Distance
"['1365', '915008', '395667', '2353999', '2355128', '2353376', '2332456', '2363688', '2350751', '408600', '38512', '657803', '920290', '1072892', '398496', '399274', '1324430']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5fc050>, <point.Point instance at 0x10a5f1248>, <point.Point instance at 0x10a5dcb48>, <point.Point instance at 0x10a6022d8>, <point.Point instance at 0x10a5ec0e0>, <point.Point instance at 0x10a5e7b00>, <point.Point instance at 0x10a5d7ea8>, <point.Point instance at 0x10a5d1e60>, <point.Point instance at 0x109e2e560>]",160,70
"['1605984', '1101321', '195946', '1101337', '1101327', '383599', '381992', '89769', '219130']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5dc050>, <point.Point instance at 0x10a5d76c8>, <point.Point instance at 0x10a5dca28>, <point.Point instance at 0x10a5d7440>, <point.Point instance at 0x110275908>, <point.Point instance at 0x10a5ec128>, <point.Point instance at 0x10a5ec170>, <point.Point instance at 0x10a5f1290>, <point.Point instance at 0x109e2e560>]",108,80
"['71795', '364846', '100792', '289088', '2625629', '204257', '194170']","[<point.Point instance at 0x1114c0f38>, <point.Point instance at 0x1114c01b8>, <point.Point instance at 0x1114c0200>, <point.Point instance at 0x1114c0248>, <point.Point instance at 0x1114c0290>, <point.Point instance at 0x10a5dc098>, <point.Point instance at 0x109e2e560>]",116,70
"['371198', '30668', '322367', '272175', '1190989', '391857', '393069']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x110265638>, <point.Point instance at 0x10a5dc2d8>, <point.Point instance at 0x10a5f11b8>, <point.Point instance at 0x10a5d7290>, <point.Point instance at 0x10a5d1cb0>, <point.Point instance at 0x10a5f1290>, <point.Point instance at 0x10a5d1e60>, <point.Point instance at 0x109e2e560>]",110,74
"['334956', '1114834', '91849']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5e1830>, <point.Point instance at 0x109e2e560>]",42,42
"['383599', '381992', '258569', '324086', '1456044']","[<point.Point instance at 0x119cae908>, <point.Point instance at 0x119caec68>, <point.Point instance at 0x119caecb0>, <point.Point instance at 0x10a5ec128>, <point.Point instance at 0x109e2e560>]",74,62
"['405691', '391079', '380057', '179949', '1044876']","[<point.Point instance at 0x119caefc8>, <point.Point instance at 0x119cae368>, <point.Point instance at 0x119cae6c8>, <point.Point instance at 0x10a5dc050>, <point.Point instance at 0x109e2e560>]",64,64
"['948360', '360062', '42416', '324086']","[<point.Point instance at 0x11357fcb0>, <point.Point instance at 0x11357ffc8>, <point.Point instance at 0x11357ff80>, <point.Point instance at 0x11357f7a0>, <point.Point instance at 0x10a5dcb00>, <point.Point instance at 0x109e2e560>]",54,50
"['1720533', '272258', '239436', '230004', '219130', '1400574']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d73f8>, <point.Point instance at 0x10a5d76c8>, <point.Point instance at 0x10a5d7128>, <point.Point instance at 0x10a602248>, <point.Point instance at 0x10a5d7830>, <point.Point instance at 0x11026af80>, <point.Point instance at 0x109e2e560>]",108,74
"['308245', '137041', '341789', '316459']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d15a8>, <point.Point instance at 0x109e2e560>]",46,46
"['145613', '363243', '365167', '387191', '1192416', '1321', '1101319']","[<point.Point instance at 0x113a8f320>, <point.Point instance at 0x113a8f368>, <point.Point instance at 0x113a8f3b0>, <point.Point instance at 0x113a8f3f8>, <point.Point instance at 0x113a8f440>, <point.Point instance at 0x113a8f488>, <point.Point instance at 0x113a8f4d0>, <point.Point instance at 0x10a5d1e18>, <point.Point instance at 0x109e2e560>]",102,76
"['1147851', '61210', '231434', '76182', '388082', '388746', '361415', '379553', '357344', '396342', '89769', '391835', '359287', '160922', '392028', '108775', '274852', '286783']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5e7a70>, <point.Point instance at 0x10a5d1710>, <point.Point instance at 0x10a5d75a8>, <point.Point instance at 0x10a5d7128>, <point.Point instance at 0x10a5d7170>, <point.Point instance at 0x10a5ec128>, <point.Point instance at 0x10a5ec170>, <point.Point instance at 0x10a5d7290>, <point.Point instance at 0x10a5ec680>, <point.Point instance at 0x10a5f1290>, <point.Point instance at 0x10a5eca28>, <point.Point instance at 0x109e2e560>]",140,96
"['106685', '260033', '103926', '205427']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x110275908>, <point.Point instance at 0x109e2e560>]",48,46
"['257415', '111873', '287467', '1101838', '287261', '1689273', '398302']","[<point.Point instance at 0x11266e1b8>, <point.Point instance at 0x11266ebd8>, <point.Point instance at 0x11266e950>, <point.Point instance at 0x11266ec20>, <point.Point instance at 0x11266eea8>, <point.Point instance at 0x10a5e1368>, <point.Point instance at 0x109e2e560>]",86,70
"['148548', '143230', '398335', '398325', '36346', '230013']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5ec050>, <point.Point instance at 0x10a5f11b8>, <point.Point instance at 0x109e2e560>]",50,40
"['365028', '387238', '366339', '223681']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5dc5a8>, <point.Point instance at 0x110275908>, <point.Point instance at 0x109e2e560>]",50,50
"['81941', '227150', '287164', '89769']","[<point.Point instance at 0x112827128>, <point.Point instance at 0x112827170>, <point.Point instance at 0x1110c5248>, <point.Point instance at 0x10a5dc2d8>, <point.Point instance at 0x109e2e560>]",78,68
"['31378', '108335', '5697', '2489041']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5f1290>, <point.Point instance at 0x109e2e560>]",72,62
"['392017', '391888', '378837', '1333672', '1164788', '276338', '185422']","[<point.Point instance at 0x1128276c8>, <point.Point instance at 0x112827368>, <point.Point instance at 0x1128273b0>, <point.Point instance at 0x10a5e7dd0>, <point.Point instance at 0x109e2e560>]",56,54
"['204257', '193832', '60315', '679025']","[<point.Point instance at 0x1130b35f0>, <point.Point instance at 0x1130b3fc8>, <point.Point instance at 0x1130b3128>, <point.Point instance at 0x1130b3c68>, <point.Point instance at 0x10a5dc2d8>, <point.Point instance at 0x109e2e560>]",54,50
"['335765', '30440', '230546', '41100']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d7560>, <point.Point instance at 0x10a5d1e18>, <point.Point instance at 0x109e2e560>]",38,38
"['360218', '137790', '24294', '131627', '145989', '251547', '244708']","[<point.Point instance at 0x111549200>, <point.Point instance at 0x111549e60>, <point.Point instance at 0x111549f80>, <point.Point instance at 0x1115491b8>, <point.Point instance at 0x10a5d1cb0>, <point.Point instance at 0x109e2e560>]",84,74
"['5735', '350562', '180023', '32895', '22234', '321099', '111873', '499508', '1101259', '392000']","[<point.Point instance at 0x111cd3c68>, <point.Point instance at 0x111cd3998>, <point.Point instance at 0x111cd3200>, <point.Point instance at 0x10a5d7128>, <point.Point instance at 0x109e2e560>]",70,42
"['207762', '392705', '46071', '324086', '475132', '475125']","[<point.Point instance at 0x111cd3170>, <point.Point instance at 0x111cd30e0>, <point.Point instance at 0x111cd3cf8>, <point.Point instance at 0x10a5d7b48>, <point.Point instance at 0x109e2e560>]",74,52
"['307102', '1101337', '387191', '2150316', '2620913', '2620902', '1102073']","[<point.Point instance at 0x116398f80>, <point.Point instance at 0x116398200>, <point.Point instance at 0x116398710>, <point.Point instance at 0x1163982d8>, <point.Point instance at 0x10a5ec128>, <point.Point instance at 0x109e2e560>]",66,66
"['1192448', '184241', '226774', '185422', '950952', '193832']","[<point.Point instance at 0x111cd3ab8>, <point.Point instance at 0x111cd3128>, <point.Point instance at 0x111cd3d40>, <point.Point instance at 0x10a5e7dd0>, <point.Point instance at 0x109e2e560>]",62,60
"['231434', '286783', '274852', '49524', '170758', '76182', '264804', '1456044', '108775', '380552', '227318', '408295', '408451', '308223', '59538', '348200', '1101294', '1101291', '1101290', '1101292', '385901', '207762', '311912', '19704', '357643', '375582', '475110', '660042', '54430', '395701', '236272']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5e7a70>, <point.Point instance at 0x10a5dc050>, <point.Point instance at 0x10a5d1710>, <point.Point instance at 0x10a5d75a8>, <point.Point instance at 0x10a5d7128>, <point.Point instance at 0x10a5d7ab8>, <point.Point instance at 0x10a5f72d8>, <point.Point instance at 0x10a5e7320>, <point.Point instance at 0x10a5d7170>, <point.Point instance at 0x10a5e1830>, <point.Point instance at 0x10a5d15a8>, <point.Point instance at 0x10a5d1cb0>, <point.Point instance at 0x10a5d7b48>, <point.Point instance at 0x10a5d7830>, <point.Point instance at 0x10a5d7290>, <point.Point instance at 0x109e2e560>]",186,74
"['2625154', '1019019', '100382', '154720', '299576', '817287', '336712', '1734057', '82591', '259577', '1075851', '365562', '259577', '343071', '1080194', '191091', '291100', '2137707', '289491', '51164', '2626882', '751202']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5ec2d8>, <point.Point instance at 0x10a5d7878>, <point.Point instance at 0x10a5d1cf8>, <point.Point instance at 0x10a5f15a8>, <point.Point instance at 0x10a5f1290>, <point.Point instance at 0x10a5d1cb0>, <point.Point instance at 0x10a5d1fc8>, <point.Point instance at 0x10a5e73b0>, <point.Point instance at 0x110275998>, <point.Point instance at 0x10a5e18c0>, <point.Point instance at 0x10a5d7170>, <point.Point instance at 0x10a5d1758>, <point.Point instance at 0x10a5d75a8>, <point.Point instance at 0x10a5d1710>, <point.Point instance at 0x10a60def0>, <point.Point instance at 0x109e2e560>]",218,90
"['356984', '376926', '360031']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5ec050>, <point.Point instance at 0x109e2e560>]",30,30
"['254322', '179564', '254322', '165051']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d7128>, <point.Point instance at 0x109e2e560>]",42,42
"['206570', '265089', '354517', '136990', '322374']","[<point.Point instance at 0x1110d0fc8>, <point.Point instance at 0x1110d0a70>, <point.Point instance at 0x1110d0368>, <point.Point instance at 0x10a5d7560>, <point.Point instance at 0x109e2e560>]",56,58
"['208299', '147629', '311368', '48409', '255229']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5e7320>, <point.Point instance at 0x10a5e76c8>, <point.Point instance at 0x109e2e560>]",76,68
"['95075', '328242', '349267', '225316', '303243']","[<point.Point instance at 0x1114c0518>, <point.Point instance at 0x1114c0050>, <point.Point instance at 0x1114c0170>, <point.Point instance at 0x110275998>, <point.Point instance at 0x109e2e560>]",60,56
"['396806', '396805', '363644', '2150800']","[<point.Point instance at 0x1110d0758>, <point.Point instance at 0x1110d0290>, <point.Point instance at 0x1110d0b90>, <point.Point instance at 0x10a5d12d8>, <point.Point instance at 0x109e2e560>]",76,76
"['82695', '49925', '387491', '365587']","[<point.Point instance at 0x1110d0c68>, <point.Point instance at 0x1110d0830>, <point.Point instance at 0x1110d0878>, <point.Point instance at 0x10a5e7a70>, <point.Point instance at 0x109e2e560>]",54,54
"['356984', '376926', '360031']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5ec050>, <point.Point instance at 0x109e2e560>]",30,30
"['205154', '221912', '379532', '196285']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5dcb00>, <point.Point instance at 0x109e2e560>]",42,42
"['259556', '172768', '379019']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d1440>, <point.Point instance at 0x10a5e1b48>, <point.Point instance at 0x109e2e560>]",58,58
"['29598', '1321', '294908', '383371', '239574', '239436', '245818', '195946', '342032']","[<point.Point instance at 0x111cd3950>, <point.Point instance at 0x111cd3440>, <point.Point instance at 0x111cd32d8>, <point.Point instance at 0x111cd3ef0>, <point.Point instance at 0x111cd3f80>, <point.Point instance at 0x111cd3a70>, <point.Point instance at 0x114402368>, <point.Point instance at 0x10a5d7290>, <point.Point instance at 0x109e2e560>]",88,64
"['1423411', '1423408', '356430', '392723', '488554', '488542']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d7830>, <point.Point instance at 0x10a5d1440>, <point.Point instance at 0x109e2e560>]",54,50
"['7177', '306809', '245715', '42210', '1138']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5dc050>, <point.Point instance at 0x10a5d1710>, <point.Point instance at 0x109e2e560>]",34,34
"['1102104', '149408', '72860', '195946', '373288', '780493', '391857']","[<point.Point instance at 0x1156fd878>, <point.Point instance at 0x1156fd098>, <point.Point instance at 0x1156fd440>, <point.Point instance at 0x1156fda28>, <point.Point instance at 0x1156fde60>, <point.Point instance at 0x10a5ec128>, <point.Point instance at 0x109e2e560>]",72,62
"['1058452', '362469', '17057', '393663', '399874', '2184187']","[<point.Point instance at 0x11335c560>, <point.Point instance at 0x11335cd40>, <point.Point instance at 0x11335cb00>, <point.Point instance at 0x10a5e7dd0>, <point.Point instance at 0x109e2e560>]",56,54
"['52017', '372539', '305367', '110313', '156385']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5dc2d8>, <point.Point instance at 0x109e2e560>]",34,34
['70172'],"[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5e7320>, <point.Point instance at 0x109e2e560>]",54,54
"['208299', '147629', '311368', '48409', '255229']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5e7320>, <point.Point instance at 0x10a5e76c8>, <point.Point instance at 0x109e2e560>]",76,68
"['1145766', '17057', '1145765', '2586530', '395664']","[<point.Point instance at 0x11205f830>, <point.Point instance at 0x11205fc68>, <point.Point instance at 0x11205f1b8>, <point.Point instance at 0x11205f170>, <point.Point instance at 0x10a5e76c8>, <point.Point instance at 0x109e2e560>]",86,66
"['1406725', '4847', '476883', '350155', '391890', '741988']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5dcb00>, <point.Point instance at 0x10a5d1488>, <point.Point instance at 0x10a5d7170>, <point.Point instance at 0x10a5d1440>, <point.Point instance at 0x1102656c8>, <point.Point instance at 0x10a5d1170>, <point.Point instance at 0x109e2e560>]",58,50
"['337003', '394165', '309096', '383371', '176484', '1190168', '71795', '41100', '204756', '96509', '1588730', '239436', '151579', '285408', '34182', '306176', '180023', '32895', '191515', '327710', '156753']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d1710>, <point.Point instance at 0x10a5d75a8>, <point.Point instance at 0x10a5d7710>, <point.Point instance at 0x10a5dc2d8>, <point.Point instance at 0x10a5ec128>, <point.Point instance at 0x10a5f1290>, <point.Point instance at 0x10a5ec680>, <point.Point instance at 0x10a5d72d8>, <point.Point instance at 0x109e2e560>]",138,76
"['42416', '365028', '387238', '366339']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5e1830>, <point.Point instance at 0x110275908>, <point.Point instance at 0x109e2e560>]",46,46
"['96509', '204756', '41100', '2150795', '709705', '323532']","[<point.Point instance at 0x1138ffcb0>, <point.Point instance at 0x1138ff680>, <point.Point instance at 0x1138ffd88>, <point.Point instance at 0x1138ff758>, <point.Point instance at 0x1138ffa28>, <point.Point instance at 0x10a5d7560>, <point.Point instance at 0x109e2e560>]",78,78
"['49473', '31378', '128827', '148141']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d73f8>, <point.Point instance at 0x10a5f1290>, <point.Point instance at 0x109e2e560>]",76,74
"['2625639', '2625640', '2625638', '1621140', '1628548', '1622189', '1622221', '2136618', '2253383', '2624695', '1623758', '1628622', '1622191', '1628109', '2253361', '2253119']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5dc2d8>, <point.Point instance at 0x109e2e560>]",34,34
"['322161', '70619', '71141', '191076']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d1710>, <point.Point instance at 0x109e2e560>]",34,34
"['155925', '81066', '1192657', '391857']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x110265638>, <point.Point instance at 0x10a5d15a8>, <point.Point instance at 0x109e2e560>]",48,46
"['87798', '475044', '84012', '736830', '1190986', '176484', '780493', '661741', '89769']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5e7a70>, <point.Point instance at 0x10a5dc2d8>, <point.Point instance at 0x10a5d1440>, <point.Point instance at 0x10a5d15a8>, <point.Point instance at 0x10a5d15f0>, <point.Point instance at 0x10a5d7290>, <point.Point instance at 0x10a5f1290>, <point.Point instance at 0x10a5eca28>, <point.Point instance at 0x109e2e560>]",118,86
"['2150795', '59313', '48365', '355027', '336788']","[<point.Point instance at 0x1138ff440>, <point.Point instance at 0x1138ff320>, <point.Point instance at 0x1138ffd40>, <point.Point instance at 0x10a5d19e0>, <point.Point instance at 0x109e2e560>]",90,74
"['391888', '193832', '206395', '392019']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5dca28>, <point.Point instance at 0x109e2e560>]",42,42
"['193618', '154454', '17653', '100598']","[<point.Point instance at 0x1138ff560>, <point.Point instance at 0x1138ff3b0>, <point.Point instance at 0x1138ff950>, <point.Point instance at 0x10a5dca28>, <point.Point instance at 0x109e2e560>]",60,52
"['294886', '257518', '164588', '311561']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d1440>, <point.Point instance at 0x10a5d12d8>, <point.Point instance at 0x109e2e560>]",50,50
"['249966', '70012', '396795', '363644']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d12d8>, <point.Point instance at 0x10a5e1b48>, <point.Point instance at 0x109e2e560>]",60,60
"['1101314', '1117760', '251547', '272457', '372898', '708440']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a60d0e0>, <point.Point instance at 0x10a5ec7e8>, <point.Point instance at 0x10a5ec680>, <point.Point instance at 0x10a5dcb48>, <point.Point instance at 0x10a5dc098>, <point.Point instance at 0x109e2e560>]",80,62
"['780187', '2166906', '360342', '358857']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5dc2d8>, <point.Point instance at 0x10a5ec128>, <point.Point instance at 0x109e2e560>]",50,50
"['17032', '68048', '374101']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d1710>, <point.Point instance at 0x10a5d15a8>, <point.Point instance at 0x109e2e560>]",48,48
"['383599', '381992', '366647', '5307', '91849', '113039', '376286']","[<point.Point instance at 0x11709e5a8>, <point.Point instance at 0x11709ee18>, <point.Point instance at 0x11709ee60>, <point.Point instance at 0x10a5e1830>, <point.Point instance at 0x109e2e560>]",66,62
"['103926', '106685', '260033']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x110275908>, <point.Point instance at 0x109e2e560>]",46,46
"['352293', '386536', '358424', '375744']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5ec680>, <point.Point instance at 0x110275908>, <point.Point instance at 0x109e2e560>]",62,62
"['382158', '388198', '286783', '34054']","[<point.Point instance at 0x11709e098>, <point.Point instance at 0x11709e0e0>, <point.Point instance at 0x11709e638>, <point.Point instance at 0x10a5d76c8>, <point.Point instance at 0x109e2e560>]",78,56
"['360056', '367941', '198029', '17112']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5dca28>, <point.Point instance at 0x10a5dcab8>, <point.Point instance at 0x109e2e560>]",56,48
"['190046', '1720591', '1400584', '1400569', '391857']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x11026af80>, <point.Point instance at 0x10a6022d8>, <point.Point instance at 0x10a602248>, <point.Point instance at 0x1102656c8>, <point.Point instance at 0x109e2e560>]",60,52
"['219501', '208974', '168753', '1399145', '1327769']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5d7560>, <point.Point instance at 0x10a5d7ab8>, <point.Point instance at 0x109e2e560>]",46,46
"['219501', '317225', '208974', '392501', '168753', '1399145', '1327769']","[<point.Point instance at 0x1114c06c8>, <point.Point instance at 0x1114c0b90>, <point.Point instance at 0x11357fab8>, <point.Point instance at 0x10a5d7560>, <point.Point instance at 0x109e2e560>]",70,46
"['365028', '387238', '366339']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x110275908>, <point.Point instance at 0x109e2e560>]",46,46
"['356984', '376926', '360031']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5ec050>, <point.Point instance at 0x109e2e560>]",30,30
"['396794', '944530', '944526', '944527']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x11026f5f0>, <point.Point instance at 0x10a5e1bd8>, <point.Point instance at 0x10a5e1b48>, <point.Point instance at 0x10a5e7b00>, <point.Point instance at 0x109e2e560>]",110,112
['2620261'],"[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5ecab8>, <point.Point instance at 0x109e2e560>]",18,18
"['2217453', '2217454', '2217451', '2217452']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5e1d88>, <point.Point instance at 0x109e2e560>]",26,26
"['2217453', '2217454', '2217451', '2217452']","[<point.Point instance at 0x109e2e518>, <point.Point instance at 0x10a5e1d88>, <point.Point instance at 0x109e2e560>]",26,26
"['135359', '380393', '298112', '181025', '393243']","[<point.Point instance at 0x11183f758>, <point.Point instance at 0x11183f290>, <point.Point instance at 0x11183ff38>, <point.Point instance at 0x11183f170>, <point.Point instance at 0x11183f320>, <point.Point instance at 0x10a5dc050>, <point.Point instance at 0x109e2e560>]",72,64
"['392819', '8659', '157585', '262522', '201055', '361101']","[<point.Point instance at 0x113685128>, <point.Point instance at 0x1136857a0>, <point.Point instance at 0x1136855a8>, <point.Point instance at 0x113685170>, <point.Point instance at 0x113685878>, <point.Point instance at 0x10a5e76c8>, <point.Point instance at 0x109e2e560>]",68,74
